total_step,stage,stage_step,n_episodes,success_rate,mean_reward,std_reward,min_reward,max_reward,mean_length,std_length,min_length,max_length,entropy_coef,learning_rate,clip_range,mean_entropy,allocation
30720,MiniGrid-DoorKey-5x5-v0,30720,15,1.0,0.9611199999999999,0.008837737266970541,0.946,0.9748,10.8,2.4549270186029295,7,15,0.02,0.0003,0.2,0.3634240035210253,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
30720,MiniGrid-DoorKey-6x6-v0,30720,15,1.0,0.9603333333333332,0.01168569876197207,0.9375,0.975,15.866666666666667,4.674279504788828,10,25,0.02,0.0003,0.2,0.47317199314928465,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
30720,MiniGrid-DoorKey-8x8-v0,30720,15,1.0,0.958,0.023686675447390254,0.8846875,0.9859375,29.866666666666667,16.843858095921952,10,82,0.02,0.0003,0.2,0.6624552711407943,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
30720,MiniGrid-DoorKey-16x16-v0,30720,15,0.5333333333333333,0.37027864583333336,0.4103851645091967,0.0,0.9926171875,1658.4666666666667,1050.3109930978644,21,2560,0.02,0.0003,0.2,1.0576653009290928,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
33792,MiniGrid-DoorKey-5x5-v0,33792,15,1.0,0.9627999999999999,0.008382839614355025,0.946,0.9748,10.333333333333334,2.328566559543064,7,15,0.02,0.0003,0.2,0.2123055306852165,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
33792,MiniGrid-DoorKey-6x6-v0,33792,15,1.0,0.9611666666666667,0.007684761255599002,0.9425,0.9725,15.533333333333333,3.0739045022396008,11,23,0.02,0.0003,0.2,0.3948334908275907,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
33792,MiniGrid-DoorKey-8x8-v0,33792,15,1.0,0.9648437499999999,0.019370211101714923,0.90015625,0.98453125,25.0,13.774372338997278,11,71,0.02,0.0003,0.2,0.45189891760877143,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
33792,MiniGrid-DoorKey-16x16-v0,33792,15,0.9333333333333333,0.7217630208333332,0.2850820336734571,0.0,0.9666015625,772.4666666666667,764.6768264364292,95,2560,0.02,0.0003,0.2,1.0083856315528068,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
36864,MiniGrid-DoorKey-5x5-v0,36864,15,1.0,0.9613599999999999,0.008765751536519843,0.9316,0.9712,10.733333333333333,2.434930982366623,8,19,0.02,0.0003,0.2,0.24517893987535327,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
36864,MiniGrid-DoorKey-6x6-v0,36864,15,1.0,0.9613333333333335,0.012710450643291744,0.925,0.9775,15.466666666666667,5.0841802573166985,9,30,0.02,0.0003,0.2,0.3121594577377405,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
36864,MiniGrid-DoorKey-8x8-v0,36864,15,1.0,0.9611875,0.022328250743172885,0.90859375,0.98453125,27.6,15.877867195145155,11,65,0.02,0.0003,0.2,0.4766578636331078,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
36864,MiniGrid-DoorKey-16x16-v0,36864,15,0.8666666666666667,0.7206744791666667,0.31783196614716025,0.0,0.9775,756.6,819.2529768026479,64,2560,0.02,0.0003,0.2,1.0363834316416032,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
39936,MiniGrid-DoorKey-5x5-v0,39936,15,1.0,0.96184,0.007974358908401332,0.9424,0.9712,10.6,2.2150996967781533,8,16,0.02,0.0003,0.2,0.2520851979947396,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
39936,MiniGrid-DoorKey-6x6-v0,39936,15,1.0,0.956,0.013063945294843613,0.9325,0.975,17.6,5.225578117937447,10,27,0.02,0.0003,0.2,0.4053497354513927,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
39936,MiniGrid-DoorKey-8x8-v0,39936,15,1.0,0.9542499999999999,0.03457151216138802,0.83546875,0.97890625,32.53333333333333,24.584186425875927,15,117,0.02,0.0003,0.2,0.6316851028312704,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
39936,MiniGrid-DoorKey-16x16-v0,39936,15,1.0,0.8359375,0.18341828716462885,0.217421875,0.9862890625,466.6666666666667,521.7231279349443,39,2226,0.02,0.0003,0.2,1.1307995345837938,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
43008,MiniGrid-DoorKey-5x5-v0,43008,15,1.0,0.96208,0.009282758210790576,0.9424,0.9748,10.533333333333333,2.578543947441829,7,16,0.02,0.0003,0.2,0.22838524535272403,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
43008,MiniGrid-DoorKey-6x6-v0,43008,15,1.0,0.9656666666666668,0.006980130530457312,0.955,0.975,13.733333333333333,2.792052212182923,10,18,0.02,0.0003,0.2,0.24136883439034695,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
43008,MiniGrid-DoorKey-8x8-v0,43008,15,1.0,0.96821875,0.012978196860504176,0.92828125,0.983125,22.6,9.228939989691847,12,51,0.02,0.0003,0.2,0.43072065839110757,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
43008,MiniGrid-DoorKey-16x16-v0,43008,15,0.8666666666666667,0.6741276041666666,0.341808995519223,0.0,0.9736328125,889.0,899.5472194387575,75,2560,0.02,0.0003,0.2,0.8331453166281487,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
46080,MiniGrid-DoorKey-5x5-v0,46080,15,1.0,0.96328,0.007223960132780329,0.9532,0.9712,10.2,2.006655592438988,8,13,0.02,0.0003,0.2,0.15175908994134416,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
46080,MiniGrid-DoorKey-6x6-v0,46080,15,1.0,0.9688333333333332,0.008938058451861304,0.94,0.9775,12.466666666666667,3.575223380744513,9,24,0.02,0.0003,0.2,0.1548387265355676,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
46080,MiniGrid-DoorKey-8x8-v0,46080,15,1.0,0.95959375,0.036154453823146054,0.82984375,0.98453125,28.733333333333334,25.709833829792746,11,121,0.02,0.0003,0.2,0.43214378679949367,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
46080,MiniGrid-DoorKey-16x16-v0,46080,15,0.9333333333333333,0.7673020833333333,0.23817812508314162,0.0,0.950078125,642.9333333333333,617.4498594128019,142,2560,0.02,0.0003,0.2,1.0065691188919963,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
